file_name,corrected_file_name,first_point_time,second_point_time,third_point_time,corrected_first,corrected_second,first_wav,last_wav,flag,notes
Agriculture1-8-July-2025.gpx,Agriculture1-8-July-2025-corrected.gpx,2025-07-08 21:16:34,2005-11-22 20:16:35,,2025-07-08 21:16:34,2025-07-08 21:16:35,2025-07-08 21:17:10,2025-07-08 23:10:07,no,ok
Agriculture2-18-July-2025.gpx,Agriculture2-18-July-2025-corrected.gpx,2005-12-02 20:09:19,2005-12-02 20:09:20,,2025-07-18 21:09:19,2025-07-18 21:09:20,2025-07-18 21:12:34,2025-07-18 22:48:21,no,ok
Agriculture3-14-July-2025.gpx,Agriculture3-14-July-2025-corrected.gpx,2025-07-14 21:06:02,2005-11-28 20:06:03,,2025-07-14 21:06:02,2025-07-14 21:06:03,2025-07-14 21:15:07,2025-07-14 23:03:39,no,ok
DEC_Canton_18_June_2025.gpx,DEC_Canton_18_June_2025-corrected.gpx,2005-11-02 21:15:21,2005-11-02 21:15:22,,2025-06-18 21:15:21,2025-06-18 21:15:22,2025-06-18 21:20:11,2025-06-18 22:22:33,no,ok
DEC_CantonReverse_21_June_2025.gpx,DEC_CantonReverse_21_June_2025-corrected.gpx,2005-11-05 21:10:31,2005-11-02 21:10:32,,2025-06-21 21:10:31,2025-06-21 21:10:32,2025-06-21 21:17:35,2025-06-21 22:28:11,no,ok
DEC_Winthrop_20_June_2025.gpx,DEC_Winthrop_20_June_2025-corrected.gpx,2005-11-04 21:00:19,2005-11-04 21:00:20,,2025-06-20 21:00:19,2025-06-20 21:00:20,2025-06-20 21:19:46,2025-06-20 22:25:57,yes,"times do not appear to have the correct start minutes, unlike some files. GPS may have been started and run for a while before driving."
DEC_WinthropReverse_23_June_2025.gpx,DEC_WinthropReverse_23_June_2025-corrected.gpx,2025-06-23 21:06:08,2005-11-07 20:06:09,,2025-06-23 21:06:08,2025-06-23 21:06:09,2025-06-23 21:19:33,2025-06-23 22:27:47,yes,"times do not appear to have the correct start minutes, unlike some files. GPS may have been started and run for a while before driving."
Deciduous1-19-July-2025.gpx,Deciduous1-19-July-2025-corrected.gpx,2005-12-03 19:22:31,2005-12-03 19:22:32,,2025-07-19 20:22:31,2025-07-19 20:22:32,2025-07-19 21:04:31,2025-07-19 22:18:08,yes,"times do not appear to have the correct start minutes, unlike some files. But time interval corresponds. Did gps begin tracking well before survey began?"
Deciduous2-15-July-2025.gpx,Deciduous2-15-July-2025-corrected.gpx,2005-11-29 20:07:20,2005-11-29 20:07:21,,2025-07-15 21:07:20,2025-07-15 21:07:21,2025-07-15 21:13:32,2025-07-15 22:54:48,yes,"times do not appear to have the correct start minutes, unlike some files. But time interval corresponds. Did gps begin tracking well before survey began?"
Deciduous3-10-July-2025.gpx,Deciduous3-10-July-2025-correctedgpx,2025-07-10 21:11:49,2005-11-24 20:11:50,,2025-07-10 21:11:49,2025-07-10 21:11:50,2025-07-10 21:15:49,2025-07-10 23:00:58,no,ok
Evergreen1-22-July-2025.gpx,Evergreen1-22-July-2025-corrected.gpx,2005-12-06 20:00:31,2005-12-06 20:00:32,,2025-07-22 21:00:31,2025-07-22 21:00:32,2025-07-22 21:06:53,2025-07-22 22:19:01,no,ok
Evergreen2-9-July-2025.gpx,Evergreen2-9-July-2025-corrected.gpx,2005-11-23 20:11:02,2005-11-23 20:11:03,,2025-07-09 21:11:02,2025-07-09 21:11:03,2025-07-09 21:19:22,2025-07-09 22:33:34,no,ok
Evergreen3-11-July-2025.gpx,Evergreen3-11-July-2025-corrected.gpx,2005-11-25 20:06:40,2005-11-25 20:07:13,,2025-07-11 21:06:40,2025-07-11 21:07:13,2025-07-11 21:15:36,2025-07-11 21:55:11,no,route ended 21:56:09; use that time as approx start for Evergreen3REVERSE
Evergreen3REVERSE-11-July-2025.gpx,Evergreen3REVERSE-11-July-2025-corrected.gpx,2005-11-25 20:56:10,2025-07-11 21:56:44,2005-11-25 20:56:45,2025-07-11 21:56:10,2025-07-11 21:56:44,2025-07-11 22:03:02,2025-07-11 22:32:16,no,route driven on way back from Evergreen3
Main-7-July-2025.gpx,Main-7-July-2025-corrected.gpx,2025-07-07 21:21:03,2005-11-21 20:21:04,,2025-07-07 21:21:03,2025-07-07 21:21:04,2025-07-07 21:22:39,2025-07-11 22:49:54,no,